inst,density,t,rep,J,Res,composite,return_code,timeout,ok
RC103,d50,0.8,0,,,,,True,False
RC104,d50,0.8,0,219.58671637516454,3.118574,220.21043117516453,0,False,True
RC104,d50,0.8,1,219.58671637516454,3.115959,220.20990817516454,0,False,True
RC104,d50,0.8,2,219.58671637516454,3.495083,220.28573297516454,0,False,True
RC105,d50,0.8,0,497.1989354953167,6.201928,498.4393210953167,0,False,True
RC105,d50,0.8,1,497.1989354953167,5.743122,498.3475598953167,0,False,True
RC105,d50,0.8,2,497.1989354953167,6.46489,498.4919134953167,0,False,True
RC101,d50,0.7,0,697.2401392440023,7.077303,698.6555998440023,0,False,True
RC101,d50,0.7,1,697.2401392440023,6.019496,698.4440384440023,0,False,True
RC101,d50,0.7,2,697.2401392440023,5.941232,698.4283856440023,0,False,True
RC102,d50,0.7,0,384.90137862288685,6.33139,386.16765662288685,0,False,True
RC102,d50,0.7,1,384.90137862288685,6.145971,386.13057282288685,0,False,True
RC102,d50,0.7,2,384.90137862288685,6.692045,386.23978762288687,0,False,True
RC103,d50,0.7,0,,,,,True,False
RC104,d50,0.7,0,281.6687557001582,2.446492,282.1580541001582,0,False,True
RC104,d50,0.7,1,281.6687557001582,2.554305,282.1796167001582,0,False,True
RC104,d50,0.7,2,281.6687557001582,2.699056,282.2085669001582,0,False,True
RC105,d50,0.7,0,449.3085019108452,5.225403,450.35358251084523,0,False,True
RC105,d50,0.7,1,449.3085019108452,5.262326,450.3609671108452,0,False,True
RC105,d50,0.7,2,449.3085019108452,5.768812,450.4622643108452,0,False,True
RC101,d50,0.6,0,647.7864107474733,6.384102,649.0632311474733,0,False,True
RC101,d50,0.6,1,647.7864107474733,5.451184,648.8766475474732,0,False,True
RC101,d50,0.6,2,647.7864107474733,5.904798,648.9673703474733,0,False,True
RC102,d50,0.6,0,377.90137862288685,5.618291,379.0250368228869,0,False,True
RC102,d50,0.6,1,377.90137862288685,5.497194,379.0008174228868,0,False,True
RC102,d50,0.6,2,377.90137862288685,5.775355,379.0564496228869,0,False,True
RC103,d50,0.6,0,,,,,True,False
RC104,d50,0.6,0,281.6687557001582,2.33692,282.1361397001582,0,False,True
RC104,d50,0.6,1,281.6687557001582,1.981654,282.0650865001582,0,False,True
