inst,density,t,n_ok,n_rep,timed_out,J_median,J_mean,J_std,J_min,J_max,Res_median,Res_mean,Res_std,composite_median,composite_mean
RC103,d75,1.0,3,3,False,80.08211389495256,80.08211389495256,0.0,80.08211389495256,80.08211389495256,15.918107,15.676475000000002,0.37671242651125764,83.26573529495255,83.21740889495256
RC104,d75,1.0,3,3,False,119.22086705512665,119.22086705512665,0.0,119.22086705512665,119.22086705512665,6.132636,6.1332716666666665,0.056688281895134446,120.44739425512665,120.44752138845998
RC105,d75,1.0,3,3,False,304.192001556073,304.192001556073,0.0,304.192001556073,304.192001556073,5.243959,5.375029666666667,0.2399599616621259,305.240793356073,305.26700748940635
RC101,d75,0.9,3,3,False,435.48459507072346,435.4845950707234,0.0,435.48459507072346,435.48459507072346,5.88609,5.863268000000001,0.22771290767689645,436.66181307072344,436.65724867072345
RC102,d75,0.9,3,3,False,375.12435786887664,375.12435786887664,0.0,375.12435786887664,375.12435786887664,8.435113,8.562038666666666,0.20496444539859948,376.8113804688766,376.83676560220994
RC103,d75,0.9,3,3,False,80.08211389495256,80.08211389495256,0.0,80.08211389495256,80.08211389495256,16.278884,16.257513,0.3240946150257156,83.33789069495256,83.33361649495255
RC104,d75,0.9,3,3,False,119.22086705512665,119.22086705512665,0.0,119.22086705512665,119.22086705512665,6.304583,6.277527,0.10721212727423453,120.48178365512665,120.47637245512665
RC105,d75,0.9,3,3,False,252.7721610273433,252.7721610273433,0.0,252.7721610273433,252.7721610273433,5.793868,5.722119666666667,0.36520458510478143,253.93093462734328,253.9165849606766
RC101,d75,0.8,3,3,False,435.48459507072346,435.4845950707234,0.0,435.48459507072346,435.48459507072346,6.326834,6.318938333333333,0.11045844882227093,436.74996187072344,436.7483827373901
RC102,d75,0.8,3,3,False,370.1243578688766,370.1243578688766,0.0,370.1243578688766,370.1243578688766,7.774741,7.846961666666666,0.3903182131554831,371.6793060688766,371.6937502022099
RC103,d75,0.8,3,3,False,80.08211389495256,80.08211389495256,0.0,80.08211389495256,80.08211389495256,14.643247,14.622443333333335,0.19315008096699138,83.01076329495255,83.00660256161922
RC104,d75,0.8,3,3,False,119.22086705512665,119.22086705512665,0.0,119.22086705512665,119.22086705512665,5.985136,6.057755333333333,0.1533183060201519,120.41789425512664,120.43241812179332
RC105,d75,0.8,3,3,False,310.78167203940063,310.78167203940063,0.0,310.78167203940063,310.78167203940063,5.231539,5.1757219999999995,0.27852965135630836,311.82797983940065,311.8168164394006
RC101,d75,0.7,3,3,False,435.48459507072346,435.4845950707234,0.0,435.48459507072346,435.48459507072346,5.4239,5.457898333333333,0.07995134743218645,436.5693750707235,436.57617473739015
RC102,d75,0.7,3,3,False,370.1243578688766,370.1243578688766,0.0,370.1243578688766,370.1243578688766,7.289966,7.370971,0.12091197944234776,371.58235106887656,371.5985520688766
RC103,d75,0.7,3,3,False,80.08211389495256,80.08211389495256,0.0,80.08211389495256,80.08211389495256,14.713367,14.683340999999999,0.33726884282226055,83.02478729495256,83.01878209495256
RC104,d75,0.7,3,3,False,119.22086705512665,119.22086705512665,0.0,119.22086705512665,119.22086705512665,6.032257,6.021171333333334,0.05185676263409505,120.42731845512665,120.42510132179332
RC105,d75,0.7,3,3,False,310.7816720394007,310.7816720394007,0.0,310.7816720394007,310.7816720394007,5.339961,5.289300999999999,0.18037579086636515,311.8496642394007,311.8395322394007
RC101,d75,0.6,3,3,False,435.48459507072346,435.4845950707234,0.0,435.48459507072346,435.48459507072346,5.317803,5.360459666666666,0.08430930489308745,436.5481556707235,436.5566870040568
RC102,d75,0.6,3,3,False,302.0423185438829,302.0423185438829,0.0,302.0423185438829,302.0423185438829,7.340946,7.499689333333333,0.22908576021122648,303.5105077438829,303.54225641054956
RC103,d75,0.6,3,3,False,80.08211389495256,80.08211389495256,0.0,80.08211389495256,80.08211389495256,15.074984,15.163613333333332,0.17241219433735627,83.09711069495256,83.11483656161921
